No,SN Tyre,Reg Unit,Tanggal Pengecekan,PIC,Suhu luar ruangan,Suhu Tyre,Aktual (PSI),Remedy PSI,Kondisi,Remark
3305,ABA 230209,ABA697,7/29/2023 9:00,JANRI RANTETAMPANG,38,35,100,,,
3306,ABA 230210,ABA697,7/29/2023 9:00,JANRI RANTETAMPANG,38,32,95,5,,
3307,ABA 221009,ABA697,7/29/2023 9:00,JANRI RANTETAMPANG,38,35,120,,,
3308,ABA 230225,ABA697,7/29/2023 9:00,JANRI RANTETAMPANG,38,30,120,,,
3309,ABA 230224,ABA697,7/29/2023 9:00,JANRI RANTETAMPANG,38,33,120,,,
3310,ABA 230309,ABA697,7/29/2023 9:00,JANRI RANTETAMPANG,38,35,120,,,
3311,ABA 230312,ABA697,7/29/2023 9:00,JANRI RANTETAMPANG,38,31,120,,,
3312,ABA 221146,ABA697,7/29/2023 9:00,JANRI RANTETAMPANG,38,31,135,,,
3313,ABA 221134,ABA697,7/29/2023 9:00,JANRI RANTETAMPANG,38,33,135,,,
3314,ABA 230302,ABA695,7/29/2023 8:50,JANRI RANTETAMPANG,34,31,90,10,,
3315,ABA 230301,ABA695,7/29/2023 8:50,JANRI RANTETAMPANG,34,30,95,5,,
3316,ABA 230220,ABA695,7/29/2023 8:50,JANRI RANTETAMPANG,34,31,120,,,
3317,ABA 230219,ABA695,7/29/2023 8:50,JANRI RANTETAMPANG,34,30,120,,,
3318,ABA 230412,ABA695,7/29/2023 8:50,JANRI RANTETAMPANG,34,32,120,,,
3319,ABA 230311,ABA695,7/29/2023 8:50,JANRI RANTETAMPANG,34,30,120,,,
3320,ABA 220803,ABA695,7/29/2023 8:50,JANRI RANTETAMPANG,34,32,120,,,
3321,ABA 230214,ABA694,7/29/2023 8:30,JANRI RANTETAMPANG,33,30,90,10,,
3322,ABA 230213,ABA694,7/29/2023 8:30,JANRI RANTETAMPANG,33,31,90,10,,
3323,ABA 221005 BS,ABA694,7/29/2023 8:30,JANRI RANTETAMPANG,33,31,120,,,
3324,ABA 221006,ABA694,7/29/2023 8:30,JANRI RANTETAMPANG,33,30,120,,,
3325,ABA 220723,ABA694,7/29/2023 8:30,JANRI RANTETAMPANG,33,31,120,,,
3326,ABA 230408,ABA694,7/29/2023 8:30,JANRI RANTETAMPANG,33,32,120,,,
3327,ABA 230409,ABA694,7/29/2023 8:30,JANRI RANTETAMPANG,33,30,120,,,
3328,ABA 230314,ABA694,7/29/2023 8:30,JANRI RANTETAMPANG,33,32,120,,,
3329,ABA 220620,ABA6102,8/16/2023 10:26,OBETH PARABAK,31,46,105,,,
3330,ABA 220622,ABA6102,8/16/2023 10:26,OBETH PARABAK,31,47,100,,,
3331,ABA 221010,ABA6102,8/16/2023 10:26,OBETH PARABAK,31,44,135,,,
3332,ABA 220806,ABA6102,8/16/2023 10:26,OBETH PARABAK,31,51,135,,,
3333,ABA 221015,ABA6102,8/16/2023 10:26,OBETH PARABAK,31,46,135,,,
3334,ABA 230507,ABA6102,8/16/2023 10:26,OBETH PARABAK,31,44,125,,,
3335,ABA 230508,ABA6102,8/16/2023 10:26,OBETH PARABAK,31,52,125,,,
3336,ABA 230504,ABA6102,8/16/2023 10:26,OBETH PARABAK,31,58,135,,,
3337,ABA 230502,ABA6102,8/16/2023 10:26,OBETH PARABAK,31,45,135,,,
3338,ABA 220624,ABA6101,8/21/2023 8:30,JANRI RANTETAMPANG,28,27,100,,,
3339,ABA 230404,ABA6101,8/21/2023 8:30,JANRI RANTETAMPANG,28,27,115,5,,
3340,ABA 230513,ABA6101,8/21/2023 8:30,JANRI RANTETAMPANG,28,28,115,5,,
3341,ABA 221137,ABA6101,8/21/2023 8:30,JANRI RANTETAMPANG,28,28,130,5,,
3342,ABA 220702,ABA6101,8/21/2023 8:30,JANRI RANTETAMPANG,28,29,115,5,,
3343,ABA 230510,ABA6101,8/21/2023 8:30,JANRI RANTETAMPANG,28,27,115,5,,
3344,ABA 230509,ABA6101,8/21/2023 8:30,JANRI RANTETAMPANG,28,28,115,5,,
3345,ABA 221140,ABA6101,8/21/2023 8:30,JANRI RANTETAMPANG,28,29,130,5,,
3346,ABA 221013,ABA6101,8/21/2023 8:30,JANRI RANTETAMPANG,28,27,75,45,,
3347,ABA 221105,ABA6105,8/21/2023 9:00,JANRI RANTETAMPANG,27,28,100,,,
3348,ABA 221102,ABA6105,8/21/2023 9:00,JANRI RANTETAMPANG,27,28,100,,,
3349,ABA 221117,ABA6105,8/21/2023 9:00,JANRI RANTETAMPANG,27,29,135,,,
3350,ABA 221118,ABA6105,8/21/2023 9:00,JANRI RANTETAMPANG,27,29,135,,,
3351,ABA 221115,ABA6105,8/21/2023 9:00,JANRI RANTETAMPANG,27,28,120,,,
3352,ABA 221119,ABA6105,8/21/2023 9:00,JANRI RANTETAMPANG,27,29,135,,,
3353,ABA 221129,ABA6105,8/21/2023 9:00,JANRI RANTETAMPANG,27,28,135,,,
3354,ABA 221004 DT,ABA6105,8/21/2023 9:00,JANRI RANTETAMPANG,27,29,120,,,
3355,ABA 221114,ABA6105,8/21/2023 9:00,JANRI RANTETAMPANG,27,29,110,10,,
3356,ABA 221132,ABA695,7/29/2023 8:50,JANRI RANTETAMPANG,34,32,135,,,
3357,ABA 220913,ABA694,7/29/2023 8:30,JANRI RANTETAMPANG,33,30,105,15,,
3358,ABA 221008,ABA6102,8/16/2023 10:26,OBETH PARABAK,31,59,135,,,
3359,ABA 220801,ABA699,8/28/2023 8:45,OBETH PARABAK,27,28,120,,,
3360,ABA 221138,ABA6100,8/29/2023 7:56,OBETH PARABAK,28,27,125,,,
3361,ABA 220811,ABA694,8/29/2023 8:49,OBETH PARABAK,29,29,115,5,,
3362,ABA 221106,ABA695,8/28/2023 14:30,OBETH PARABAK,34,32,120,,,
3363,ABA 221116,ABA692,8/29/2023 8:32,OBETH PARABAK,28,27,115,,,
3364,ABA 220907,ABA6105,8/28/2023 9:00,JANRI RANTETAMPANG,26,28,120,,,
3365,ABA 221126,ABA6104,8/28/2023 8:05,OBETH PARABAK,28,27,135,,,
3366,ABA 221132,ABA695,8/28/2023 14:30,OBETH PARABAK,34,31,130,5,,
3367,ABA 221142,ABA692,8/29/2023 8:32,OBETH PARABAK,28,29,130,,,
3368,ABA 220616,ABA699,8/28/2023 8:45,OBETH PARABAK,27,28,105,,,
3369,ABA 220903,ABA696,8/28/2023 11:20,OBETH PARABAK,29,32,100,,,
3370,ABA 220316,ABA6101,8/30/2023 7:20,OBETH PARABAK,28,27,100,,,
3371,ABA 221125,ABA6104,8/28/2023 8:05,OBETH PARABAK,28,26,135,,,
3372,ABA 221103,ABA6104,8/28/2023 8:05,OBETH PARABAK,28,29,100,,,
3373,ABA 220619,ABA6104,8/28/2023 8:05,OBETH PARABAK,28,41,100,,,
3374,ABA 221130,ABA6104,8/28/2023 8:05,OBETH PARABAK,28,29,135,,,
3375,ABA 221128,ABA6104,8/28/2023 8:05,OBETH PARABAK,28,27,135,,,
3376,ABA 221001 DT,ABA6104,8/28/2023 8:05,OBETH PARABAK,28,29,120,,,
3377,ABA 230222,ABA6104,8/28/2023 8:05,OBETH PARABAK,28,26,120,,,
3378,ABA 221123,ABA6104,8/28/2023 8:05,OBETH PARABAK,28,34,135,,,
3379,ABA 220617,ABA699,8/28/2023 8:45,OBETH PARABAK,27,30,100,,,
3380,ABA 230306,ABA699,8/28/2023 8:45,OBETH PARABAK,27,28,120,,,
3381,ABA 220908,ABA699,8/28/2023 8:45,OBETH PARABAK,27,26,120,,,
3382,ABA 220802,ABA699,8/28/2023 8:45,OBETH PARABAK,27,26,115,5,,
3383,ABA 230501,ABA699,8/28/2023 8:45,OBETH PARABAK,27,28,115,5,,
3384,ABA 230406,ABA699,8/28/2023 8:45,OBETH PARABAK,27,26,120,,,
3385,ABA 221011,ABA699,8/28/2023 8:45,OBETH PARABAK,27,26,120,,,
3386,ABA 230317,ABA699,8/28/2023 8:45,OBETH PARABAK,27,27,120,,,
3387,ABA 230209,ABA697,8/28/2023 8:50,OBETH PARABAK,28,27,95,5,,
3388,ABA 230210,ABA697,8/28/2023 8:50,OBETH PARABAK,28,28,95,5,,
3389,ABA 221009,ABA697,8/28/2023 8:50,OBETH PARABAK,28,28,120,,,
3390,ABA 220913,ABA697,8/28/2023 8:50,OBETH PARABAK,28,26,115,5,,
3391,ABA 230225,ABA697,8/28/2023 8:50,OBETH PARABAK,28,27,115,5,,
3392,ABA 230224,ABA697,8/28/2023 8:50,OBETH PARABAK,28,29,115,5,,
3393,ABA 230309,ABA697,8/28/2023 8:50,OBETH PARABAK,28,29,120,,,
3394,ABA 230312,ABA697,8/28/2023 8:50,OBETH PARABAK,28,27,115,5,,
3395,ABA 221146,ABA697,8/28/2023 8:50,OBETH PARABAK,28,26,130,5,,
3396,ABA 221134,ABA697,8/28/2023 8:50,OBETH PARABAK,28,30,130,5,,
3397,ABA 220902,ABA6103,8/28/2023 8:15,OBETH PARABAK,28,28,90,10,,
3398,ABA 220615,ABA6103,8/28/2023 8:15,OBETH PARABAK,28,28,85,15,,
3399,ABA 230414,ABA6103,8/28/2023 8:15,OBETH PARABAK,28,29,115,5,,
3400,ABA 230503,ABA6103,8/28/2023 8:15,OBETH PARABAK,28,27,110,10,,
3401,ABA 220726,ABA6103,8/28/2023 8:15,OBETH PARABAK,28,29,115,5,,
3402,ABA 230308,ABA6103,8/28/2023 8:15,OBETH PARABAK,28,30,110,10,,
3403,ABA 230313,ABA6103,8/28/2023 8:15,OBETH PARABAK,28,27,50,70,,
3404,ABA 230702,ABA6103,8/28/2023 8:15,OBETH PARABAK,28,27,130,5,,
3405,ABA 230705,ABA6103,8/28/2023 8:15,OBETH PARABAK,28,30,130,5,,
3406,ABA 220620,ABA6102,8/28/2023 8:30,OBETH PARABAK,28,41,90,10,,
3407,ABA 220622,ABA6102,8/28/2023 8:30,OBETH PARABAK,28,30,85,15,,
3408,ABA 221010,ABA6102,8/28/2023 8:30,OBETH PARABAK,28,32,40,80,,
3409,ABA 220806,ABA6102,8/28/2023 8:30,OBETH PARABAK,28,27,120,,,
3410,ABA 221015,ABA6102,8/28/2023 8:30,OBETH PARABAK,28,29,120,,,
3411,ABA 230507,ABA6102,8/28/2023 8:30,OBETH PARABAK,28,31,110,10,,
3412,ABA 230508,ABA6102,8/28/2023 8:30,OBETH PARABAK,28,28,110,10,,
3413,ABA 230504,ABA6102,8/28/2023 8:30,OBETH PARABAK,28,27,120,,,
3414,ABA 230502,ABA6102,8/28/2023 8:30,OBETH PARABAK,28,29,115,5,,
3415,ABA 221101,ABA696,8/28/2023 11:20,OBETH PARABAK,29,30,100,,,
3416,ABA 230506,ABA696,8/28/2023 11:20,OBETH PARABAK,29,30,120,,,
3417,ABA 230505,ABA696,8/28/2023 11:20,OBETH PARABAK,29,28,120,,,
3418,ABA 230227,ABA696,8/28/2023 11:20,OBETH PARABAK,29,29,120,,,
3419,ABA 230226,ABA696,8/28/2023 11:20,OBETH PARABAK,29,33,125,,,
3420,ABA 230318,ABA696,8/28/2023 11:20,OBETH PARABAK,29,31,125,,,
3421,ABA 230407,ABA696,8/28/2023 11:20,OBETH PARABAK,29,29,80,40,,
3422,ABA 221108,ABA696,8/28/2023 11:20,OBETH PARABAK,29,34,120,,,
3423,ABA 230218,ABA698,8/28/2023 13:53,OBETH PARABAK,33,34,95,5,,
3424,ABA 230217,ABA698,8/28/2023 13:53,OBETH PARABAK,33,35,95,5,,
3425,ABA 221145,ABA698,8/28/2023 13:53,OBETH PARABAK,33,34,125,10,,
3426,ABA 221147,ABA698,8/28/2023 13:53,OBETH PARABAK,33,32,125,10,,
3427,ABA 221141,ABA698,8/28/2023 13:53,OBETH PARABAK,33,32,125,10,,
3428,ABA 221148,ABA698,8/28/2023 13:53,OBETH PARABAK,33,36,130,5,,
3429,ABA 230415,ABA698,8/28/2023 13:53,OBETH PARABAK,33,35,115,5,,
3430,ABA 230413,ABA698,8/28/2023 13:53,OBETH PARABAK,33,33,110,10,,
3431,ABA 221002 DT,ABA698,8/28/2023 13:53,OBETH PARABAK,33,33,110,10,,
3432,ABA 230307,ABA698,8/28/2023 13:53,OBETH PARABAK,33,37,120,,,
3433,ABA 230302,ABA695,8/28/2023 14:30,OBETH PARABAK,34,33,100,,,
3434,ABA 230301,ABA695,8/28/2023 14:30,OBETH PARABAK,34,36,100,,,
3435,ABA 230220,ABA695,8/28/2023 14:30,OBETH PARABAK,34,32,120,,,
3436,ABA 230219,ABA695,8/28/2023 14:30,OBETH PARABAK,34,30,120,,,
3437,ABA 230412,ABA695,8/28/2023 14:30,OBETH PARABAK,34,32,120,,,
3438,ABA 230311,ABA695,8/28/2023 14:30,OBETH PARABAK,34,36,120,,,
3439,ABA 230709,ABA695,8/28/2023 14:30,OBETH PARABAK,34,33,130,5,,
3440,ABA 220803,ABA695,8/28/2023 14:30,OBETH PARABAK,34,37,120,,,
3441,ABA 220618,ABA692,8/29/2023 8:32,OBETH PARABAK,28,32,95,,,
3442,ABA 220417,ABA692,8/29/2023 8:32,OBETH PARABAK,28,29,90,,,
3443,ABA 221109,ABA692,8/29/2023 8:32,OBETH PARABAK,28,34,120,,,
3444,ABA 230223,ABA692,8/29/2023 8:32,OBETH PARABAK,28,29,115,,,
3445,ABA 230316,ABA692,8/29/2023 8:32,OBETH PARABAK,28,28,115,,,
3446,ABA 230315,ABA692,8/29/2023 8:32,OBETH PARABAK,28,30,115,,,
3447,ABA 221144,ABA692,8/29/2023 8:32,OBETH PARABAK,28,35,130,,,
3448,ABA 221131,ABA692,8/29/2023 8:32,OBETH PARABAK,28,31,125,,,
3449,ABA 230208,ABA6100,8/29/2023 7:56,OBETH PARABAK,28,28,95,5,,
3450,ABA 230205,ABA6100,8/29/2023 7:56,OBETH PARABAK,28,27,90,10,,
