No,SN Tyre,Reg Unit,Tanggal Pengecekan,PIC,Suhu luar ruangan,Suhu Tyre,Aktual (PSI),Remedy PSI,Kondisi,Remark
1,ABA 220911,ABA693,1/6/2023 8:15,"PAD, NHD, IWM",27,27,110,0,,
2,ABA 220911,ABA693,1/13/2023 8:20,ARY,28,35,120,,,
3,ABA 220708,ABA694,1/7/2023 8:10,JRT,26,26,105,15,,
4,ABA 220709,ABA697,1/8/2023 10:20,jrt,25,27,110,10,,
5,ABA 220715,ABA6103,1/11/2023 13:53,JRT,32,38,120,,,
6,ABA 220715,ABA6103,1/18/2023 7:10,OBETH PARABAK,25,25,115,5,,
7,ABA 220715,ABA6103,1/24/2023 10:06,OBP,29,30,130,,,
8,ABA 220202,ABA694,1/21/2023 13:46,JRT,31,35,135,,,
9,ABA 2202011,ABA692,1/6/2023 9:20,"PAD, NHD, IWM",28,40,100,0,,
10,ABA 211017,ABA697,1/8/2023 10:20,jrt,25,27,80,20,,
11,ABA 211015,ABA697,1/8/2023 10:20,jrt,25,26,85,15,,
12,ABA 2202019,ABA697,1/8/2023 10:20,jrt,25,26,120,15,,
13,ABA 220309,ABA696,1/8/2023 9:17,JRT,25,25,90,10,,
14,ABA 220208,ABA699,1/9/2023 10:51,JRT,29,28,120,,,
15,ABA 2202011,ABA692,1/13/2023 9:58,ARY,29,35,120,,,
16,ABA 03619 EKS,719,1/13/2023 8:50,NHD,29,33,120,,,
17,ABA 220309,ABA696,1/15/2023 11:32,OBP,31,43,110,,,
18,ABA 220306,ABA698,1/16/2023 11:13,OBP,31,42,135,,,
19,ABA 220105,ABA699,1/16/2023 8:28,OBP,27,41,120,,,
20,ABA 03619 EKS,719,1/20/2023 14:04,SUKIR & NUNUNG HARIANTO,32.3,35,130,0,,
21,ABA 2202011,ABA692,1/20/2023 7:50,SUKIR & NUNUNG HARIANTO,25,27,120,0,,
22,ABA 220309,ABA696,1/22/2023 14:07,OBP,30,34,115,,,
23,ABA 220108,ABA694,1/21/2023 13:46,JRT,31,31,120,,,
24,ABA 220602,ABA694,1/21/2023 13:46,JRT,31,31,120,,,
25,ABA 220311,ABA693,1/6/2023 8:15,"PAD, NHD, IWM",27,28,100,0,,
26,ABA 220312,ABA693,1/6/2023 8:15,"PAD, NHD, IWM",27,27,90,10,,
27,ABA 220730,ABA693,1/6/2023 8:15,"PAD, NHD, IWM",27,28,110,10,,
28,ABA 220413,ABA693,1/6/2023 8:15,"PAD, NHD, IWM",27,29,115,5,,
29,ABA 220906,ABA693,1/6/2023 8:15,"PAD, NHD, IWM",27,26,110,0,,
30,ABA 220907,ABA693,1/6/2023 8:15,"PAD, NHD, IWM",27,27,115,0,,
31,ABA 220601,ABA693,1/6/2023 8:15,"PAD, NHD, IWM",27,30,115,0,,
32,ABA 220910,ABA693,1/6/2023 8:15,"PAD, NHD, IWM",27,26,110,10,,
33,ABA 220912,ABA693,1/6/2023 8:15,"PAD, NHD, IWM",27,28,115,5,,
34,ABA 220313,ABA6101,1/6/2023 8:30,"PAD, NHD, IWM",26.6,28,100,0,,
35,ABA 220316,ABA6101,1/6/2023 8:30,"PAD, NHD, IWM",26.6,28,95,5,,
36,ABA 220810,ABA6101,1/6/2023 8:30,"PAD, NHD, IWM",26.6,28,115,5,,
37,ABA 220914,ABA6101,1/6/2023 8:30,"PAD, NHD, IWM",26.6,27,110,10,,
38,ABA 220703,ABA6101,1/6/2023 8:30,"PAD, NHD, IWM",26.6,27,115,5,,
39,ABA 220702,ABA6101,1/6/2023 8:30,"PAD, NHD, IWM",26.6,28,120,0,,
40,ABA 220407,ABA6101,1/6/2023 8:30,"PAD, NHD, IWM",26.6,29,120,0,,
41,ABA 220302,ABA6101,1/6/2023 8:30,"PAD, NHD, IWM",26.6,27,90,30,,
42,ABA 2202015,ABA6101,1/6/2023 8:30,"PAD, NHD, IWM",26.6,27,125,5,,
43,ABA 211206,ABA6101,1/6/2023 8:30,"PAD, NHD, IWM",26.6,28,130,0,,
44,ABA 221104,ABA6106,1/6/2023 7:50,"PAD, NHD, IWM",26,26,90,10,,
45,ABA 220904,ABA6106,1/6/2023 7:50,"PAD, NHD, IWM",26,26,90,10,,
46,ABA 221140,ABA6106,1/6/2023 7:50,"PAD, NHD, IWM",26,26,120,15,,
47,ABA 221133,ABA6106,1/6/2023 7:50,"PAD, NHD, IWM",26,26,120,15,,
48,ABA 221135,ABA6106,1/6/2023 7:50,"PAD, NHD, IWM",26,26,120,15,,
49,ABA 221136,ABA6106,1/6/2023 7:50,"PAD, NHD, IWM",26,26,120,15,,
50,ABA 221138,ABA6106,1/6/2023 7:50,"PAD, NHD, IWM",26,26,120,15,,
51,ABA 221132,ABA6106,1/6/2023 7:50,"PAD, NHD, IWM",26,26,120,15,,
52,ABA 221131,ABA6106,1/6/2023 7:50,"PAD, NHD, IWM",26,26,120,15,,
53,ABA 221146,ABA6106,1/6/2023 7:50,"PAD, NHD, IWM",26,26,120,15,,
54,ABA 220620,ABA6100,1/6/2023 8:15,"PAD, NHD, IWM",27,26,90,10,,
55,ABA 220416,ABA6100,1/6/2023 8:15,"PAD, NHD, IWM",27,26,90,10,,
56,ABA 220727,ABA6100,1/6/2023 8:15,"PAD, NHD, IWM",27,26,120,0,,
57,ABA 220913,ABA6100,1/6/2023 8:15,"PAD, NHD, IWM",27,26,90,30,,
58,ABA 220808,ABA6100,1/6/2023 8:15,"PAD, NHD, IWM",27,25,120,0,,
59,ABA 220809,ABA6100,1/6/2023 8:15,"PAD, NHD, IWM",27,26,120,0,,
60,ABA 220414,ABA6100,1/6/2023 8:15,"PAD, NHD, IWM",27,27,110,15,,
61,ABA 220301,ABA6100,1/6/2023 8:15,"PAD, NHD, IWM",27,26,120,15,,
62,ABA 220721,ABA6100,1/6/2023 8:15,"PAD, NHD, IWM",27,26,120,0,,
63,ABA 221116,ABA6100,1/6/2023 8:15,"PAD, NHD, IWM",27,27,120,0,,
64,ABA 220618,ABA692,1/6/2023 9:20,"PAD, NHD, IWM",28,39,105,0,,
65,ABA 20901,ABA692,1/6/2023 9:20,"PAD, NHD, IWM",28,40,110,0,,
66,ABA 221109,ABA692,1/6/2023 9:20,"PAD, NHD, IWM",28,35,125,0,,
67,ABA 221113,ABA692,1/6/2023 9:20,"PAD, NHD, IWM",28,40,130,0,,
68,ABA 220805,ABA692,1/6/2023 9:20,"PAD, NHD, IWM",28,40,125,0,,
69,ABA 220807,ABA692,1/6/2023 9:20,"PAD, NHD, IWM",28,37,130,0,,
70,ABA 220608,ABA692,1/6/2023 9:20,"PAD, NHD, IWM",28,37,125,0,,
71,ABA 220304,ABA692,1/6/2023 9:20,"PAD, NHD, IWM",28,42,130,0,,
72,ABA 220706,ABA692,1/6/2023 9:20,"PAD, NHD, IWM",28,38,125,0,,
73,ABA 211021,720,1/6/2023 14:00,"PAD, NHD, IWM",29,36,100,0,,
74,ABA 211023,720,1/6/2023 14:00,"PAD, NHD, IWM",29,34,100,0,,
75,ABA 211020,720,1/6/2023 14:00,"PAD, NHD, IWM",29,38,130,5,,
76,ABA 211029,720,1/6/2023 14:00,"PAD, NHD, IWM",29,38,130,5,,
77,ABA 211030,720,1/6/2023 14:00,"PAD, NHD, IWM",29,33,130,5,,
78,ABA 211024,720,1/6/2023 14:00,"PAD, NHD, IWM",29,36,130,5,,
79,ABA 211019,720,1/6/2023 14:00,"PAD, NHD, IWM",29,38,130,5,,
80,ABA 211027,720,1/6/2023 14:00,"PAD, NHD, IWM",29,33,130,5,,
81,ABA 211028,720,1/6/2023 14:00,"PAD, NHD, IWM",29,36,130,5,,
82,ABA 211025,720,1/6/2023 14:00,"PAD, NHD, IWM",29,36,130,5,,
83,ABA 220624,ABA694,1/7/2023 8:10,JRT,26,29,95,5,,
84,ABA 220623,ABA694,1/7/2023 8:10,JRT,26,26,90,10,,
85,ABA 220202,ABA694,1/7/2023 8:10,JRT,26,30,125,10,,
86,ABA 220108,ABA694,1/7/2023 8:10,JRT,26,28,115,5,,
87,ABA 220724,ABA694,1/7/2023 8:10,JRT,26,25,110,10,,
88,ABA 220723,ABA694,1/7/2023 8:10,JRT,26,27,110,10,,
89,ABA 220806,ABA694,1/7/2023 8:10,JRT,26,30,110,10,,
90,ABA 220725,ABA694,1/7/2023 8:10,JRT,26,27,110,10,,
91,ABA 220216,ABA694,1/7/2023 8:10,JRT,26,27,125,10,,
92,C0117K21,407,1/7/2023 14:00,JRT,33,39,30,5,,
93,C2603Y21,407,1/7/2023 14:00,JRT,33,40,30,5,,
94,ABA 2202018,ABA697,1/8/2023 10:20,jrt,25,26,115,20,,
95,ABA 221108,ABA697,1/8/2023 10:20,jrt,25,26,105,15,,
96,ABA 221107,ABA697,1/8/2023 10:20,jrt,25,25,110,10,,
97,ABA 220408,ABA697,1/8/2023 10:20,jrt,25,25,110,10,,
98,ABA 220409,ABA697,1/8/2023 10:20,jrt,25,27,110,10,,
99,ABA 221103,ABA6104,1/8/2023 8:20,JRT,25,24,100,,,
100,ABA 220619,ABA6104,1/8/2023 8:20,JRT,25,24,100,,,
101,ABA 221130,ABA6104,1/8/2023 8:20,JRT,25,23,120,15,,
102,ABA 221128,ABA6104,1/8/2023 8:20,JRT,25,24,120,15,,
103,ABA 221126,ABA6104,1/8/2023 8:20,JRT,25,24,120,15,,
104,ABA 221139,ABA6104,1/8/2023 8:20,JRT,25,24,120,15,,
105,ABA 221134,ABA6104,1/8/2023 8:20,JRT,25,24,120,15,,
106,ABA 221124,ABA6104,1/8/2023 8:20,JRT,25,24,120,15,,
107,ABA 221125,ABA6104,1/8/2023 8:20,JRT,25,24,120,15,,
108,ABA 221123,ABA6104,1/8/2023 8:20,JRT,25,24,120,15,,
109,ABA 211102,ABA696,1/8/2023 9:17,JRT,25,24,100,,,
110,ABA 220609,ABA696,1/8/2023 9:17,JRT,25,25,110,10,,
111,ABA 220412,ABA696,1/8/2023 9:17,JRT,25,25,110,10,,
112,ABA 220401,ABA696,1/8/2023 9:17,JRT,25,24,110,10,,
113,ABA220712,ABA696,1/8/2023 9:17,JRT,25,25,110,10,,
114,ABA 220716,ABA696,1/8/2023 9:17,JRT,25,24,100,20,,
115,ABA 220909,ABA696,1/8/2023 9:17,JRT,25,25,110,10,,
116,ABA 220905,ABA696,1/8/2023 9:17,JRT,25,25,110,10,,
117,ABA 220617,ABA699,1/9/2023 10:51,JRT,29,37,100,,,
118,ABA 220616,ABA699,1/9/2023 10:51,JRT,29,38,100,,,
119,ABA 220908,ABA699,1/9/2023 10:51,JRT,29,35,120,,,
120,ABA 221012,ABA699,1/9/2023 10:51,JRT,29,38,120,,,
121,ABA 220802,ABA699,1/9/2023 10:51,JRT,29,38,120,,,
122,ABA 220801,ABA699,1/9/2023 10:51,JRT,29,37,120,,,
123,ABA 220602,ABA699,1/9/2023 10:51,JRT,29,29,120,,,
124,ABA 220105,ABA699,1/9/2023 10:51,JRT,29,36,120,,,
125,ABA 220307,ABA699,1/9/2023 10:51,JRT,29,37,125,10,,
126,ABA 221105,ABA6105,1/9/2023 14:27,JRT,39,49,115,,,
127,ABA 221102,ABA6105,1/9/2023 14:27,JRT,39,51,115,,,
128,ABA 221117,ABA6105,1/9/2023 14:27,JRT,39,41,135,,,
129,ABA 221118,ABA6105,1/9/2023 14:27,JRT,39,46,140,,,
130,ABA 221121,ABA6105,1/9/2023 14:27,JRT,39,48,140,,,
131,ABA 221119,ABA6105,1/9/2023 14:27,JRT,39,44,135,,,
132,ABA 221129,ABA6105,1/9/2023 14:27,JRT,39,43,135,,,
133,ABA 221127,ABA6105,1/9/2023 14:27,JRT,39,50,140,,,
134,ABA 221120,ABA6105,1/9/2023 14:27,JRT,39,52,140,,,
135,ABA 221122,ABA6105,1/9/2023 14:27,JRT,39,44,135,,,
136,ABA 221004,310,1/12/2023 7:06,JRT,25,30,50,15,,
137,ABA 221002,310,1/12/2023 7:06,JRT,25,27,65,,,
138,ABA 221001,310,1/12/2023 7:06,JRT,25,28,65,,,
139,ABA 221003,310,1/12/2023 7:06,JRT,25,28,65,,,
140,ABA 220614,309,1/13/2023 7:30,JRT,26,36,65,,,
141,ABA 220613,309,1/13/2023 7:30,JRT,26,37,65,,,
142,ABA 220612 MG,309,1/13/2023 7:30,JRT,26,39,55,10,,
143,ABA 220611 MG,309,1/13/2023 7:30,JRT,26,37,65,,,
144,ABA 210906 MG,309,1/13/2023 7:30,JRT,26,36,65,,,
145,ABA 210905 MG,309,1/13/2023 7:30,JRT,26,39,65,,,
146,ABA 220902,ABA6103,1/11/2023 13:53,JRT,32,39,100,5,,
147,ABA 220615,ABA6103,1/11/2023 13:53,JRT,32,39,105,,,
148,ABA 220605,ABA6103,1/11/2023 13:53,JRT,32,37,120,,,
149,ABA 220606,ABA6103,1/11/2023 13:53,JRT,32,43,120,,,
150,ABA 220728,ABA6103,1/11/2023 13:53,JRT,32,43,120,,,
151,ABA 220726,ABA6103,1/11/2023 13:53,JRT,32,38,120,,,
152,ABA 220720,ABA6103,1/11/2023 13:53,JRT,32,40,120,,,
153,ABA 220711,ABA6103,1/11/2023 13:53,JRT,32,44,120,,,
154,ABA 221137,ABA6103,1/11/2023 13:53,JRT,32,44,135,,,
155,ABA 221104,ABA6106,1/10/2023 7:26,HARIRA,26,33,100,,,
156,ABA 220904,ABA6106,1/10/2023 7:26,HARIRA,26,33,100,,,
157,ABA 221140,ABA6106,1/10/2023 7:26,HARIRA,26,31,130,5,,
158,ABA 221133,ABA6106,1/10/2023 7:26,HARIRA,26,33,130,5,,
159,ABA 221135,ABA6106,1/10/2023 7:26,HARIRA,26,34,130,5,,
160,ABA 221136,ABA6106,1/10/2023 7:26,HARIRA,26,31,130,5,,
161,ABA 221138,ABA6106,1/10/2023 7:26,HARIRA,26,32,130,5,,
162,ABA 221132,ABA6106,1/10/2023 7:26,HARIRA,26,35,130,5,,
163,ABA 221131,ABA6106,1/10/2023 7:26,HARIRA,26,34,130,5,,
164,ABA 221146,ABA6106,1/10/2023 7:26,HARIRA,26,32,130,5,,
165,ABA 220621,ABA6102,1/11/2023 7:40,PAD,26,32,100,,,
166,ABA 220622,ABA6102,1/11/2023 7:40,PAD,26,32,100,,,
167,ABA 220101,ABA6102,1/11/2023 7:40,PAD,26,30,120,,,
168,ABA 2202012,ABA6102,1/11/2023 7:40,PAD,26,33,120,,,
169,ABA 221013,ABA6102,1/11/2023 7:40,PAD,26,30,120,,,
170,ABA 221015,ABA6102,1/11/2023 7:40,PAD,26,29,120,,,
171,ABA 220607,ABA6102,1/11/2023 7:40,PAD,26,31,115,5,,
172,ABA 220722,ABA6102,1/11/2023 7:40,PAD,26,31,115,5,,
173,ABA 221014,ABA6102,1/11/2023 7:40,PAD,26,33,120,,,
174,ABA 220713,ABA6102,1/11/2023 7:40,PAD,26,30,120,,,
175,ABA 220618,ABA692,1/13/2023 9:58,ARY,29,36,100,,,
176,ABA 20901,ABA692,1/13/2023 9:58,ARY,29,32,100,,,
177,ABA 221109,ABA692,1/13/2023 9:58,ARY,29,38,120,,,
178,ABA 221113,ABA692,1/13/2023 9:58,ARY,29,33,120,,,
179,ABA 220805,ABA692,1/13/2023 9:58,ARY,29,34,120,,,
180,ABA 220807,ABA692,1/13/2023 9:58,ARY,29,34,120,,,
181,ABA 220608,ABA692,1/13/2023 9:58,ARY,29,39,120,,,
182,ABA 220304,ABA692,1/13/2023 9:58,ARY,29,35,135,,,
183,ABA 220706,ABA692,1/13/2023 9:58,ARY,29,35,120,,,
184,ABA 211021,720,1/13/2023 9:01,NHD,29,31,100,,,
185,ABA 211023,720,1/13/2023 9:01,NHD,29,34,100,,,
186,ABA 211020,720,1/13/2023 9:01,NHD,29,33,130,5,,
187,ABA 211029,720,1/13/2023 9:01,NHD,29,33,130,5,,
188,ABA 211030,720,1/13/2023 9:01,NHD,29,33,130,5,,
189,ABA 211024,720,1/13/2023 9:01,NHD,29,34,135,,,
190,ABA 211019,720,1/13/2023 9:01,NHD,29,34,130,5,,
191,ABA 211027,720,1/13/2023 9:01,NHD,29,30,130,5,,
192,ABA 211028,720,1/13/2023 9:01,NHD,29,32,135,,,
193,ABA 211025,720,1/13/2023 9:01,NHD,29,35,130,5,,
194,ABA 220311,ABA693,1/13/2023 8:20,ARY,28,33,100,,,
195,ABA 220312,ABA693,1/13/2023 8:20,ARY,28,31,100,,,
196,ABA 220730,ABA693,1/13/2023 8:20,ARY,28,34,120,,,
197,ABA 220413,ABA693,1/13/2023 8:20,ARY,28,31,120,,,
198,ABA 220906,ABA693,1/13/2023 8:20,ARY,28,32,120,,,
199,ABA 220907,ABA693,1/13/2023 8:20,ARY,28,34,120,,,
200,ABA 220601,ABA693,1/13/2023 8:20,ARY,28,36,120,,,
201,ABA 220910,ABA693,1/13/2023 8:20,ARY,28,33,120,,,
202,ABA 220912,ABA693,1/13/2023 8:20,ARY,28,35,120,,,
203,ABA H02002,719,1/13/2023 8:50,NHD,29,32,105,,,
204,ABA H02001,719,1/13/2023 8:50,NHD,29,30,100,,,
205,ABA 01420-2,719,1/13/2023 8:50,NHD,29,32,120,,,
206,ABA 10420-2,719,1/13/2023 8:50,NHD,29,28,115,5,,
207,ABA 07420-2,719,1/13/2023 8:50,NHD,29,28,115,5,,
208,ABA 01120-2,719,1/13/2023 8:50,NHD,29,29,120,,,
209,ABA 210116 EKS,719,1/13/2023 8:50,NHD,29,29,115,5,,
210,ABA 09420-2,719,1/13/2023 8:50,NHD,29,27,115,5,,
211,ABA 04420-2,719,1/13/2023 8:50,NHD,29,30,120,,,
212,ABA 220620,ABA6100,1/13/2023 7:52,ARY,29,35,100,,,
213,ABA 220416,ABA6100,1/13/2023 7:52,ARY,29,31,100,,,
214,ABA 220727,ABA6100,1/13/2023 7:52,ARY,29,39,120,,,
215,ABA 220913,ABA6100,1/13/2023 7:52,ARY,29,39,120,,,
216,ABA 220808,ABA6100,1/13/2023 7:52,ARY,29,32,120,,,
217,ABA 220809,ABA6100,1/13/2023 7:52,ARY,29,31,120,,,
218,ABA 220414,ABA6100,1/13/2023 7:52,ARY,29,36,100,20,,
219,ABA 220301,ABA6100,1/13/2023 7:52,ARY,29,40,120,15,,
220,ABA 220721,ABA6100,1/13/2023 7:52,ARY,29,34,135,,,
221,ABA 221116,ABA6100,1/13/2023 7:52,ARY,29,33,135,,,
222,ABA 201201 CMP,406,1/14/2023 8:56,OBP,28,31,35,,,
223,ABA 221005,406,1/14/2023 8:56,OBP,28,31,30,5,,
224,ABA 221103,ABA6104,1/15/2023 7:50,OBP,26,32,105,,,
225,ABA 220619,ABA6104,1/15/2023 7:50,OBP,26,32,105,,,
226,ABA 221130,ABA6104,1/15/2023 7:50,OBP,26,29,135,,,
227,ABA 221128,ABA6104,1/15/2023 7:50,OBP,26,30,135,,,
228,ABA 221126,ABA6104,1/15/2023 7:50,OBP,26,30,135,,,
229,ABA 221139,ABA6104,1/15/2023 7:50,OBP,26,28,135,,,
230,ABA 221134,ABA6104,1/15/2023 7:50,OBP,26,29,135,,,
231,ABA 221124,ABA6104,1/15/2023 7:50,OBP,26,31,135,,,
232,ABA 221125,ABA6104,1/15/2023 7:50,OBP,26,30,135,,,
233,ABA 221123,ABA6104,1/15/2023 7:50,OBP,26,28,135,,,
234,ABA 211102,ABA696,1/15/2023 11:32,OBP,31,43,110,,,
235,ABA 220609,ABA696,1/15/2023 11:32,OBP,31,40,125,,,
236,ABA 220412,ABA696,1/15/2023 11:32,OBP,31,51,135,,,
237,ABA 220401,ABA696,1/15/2023 11:32,OBP,31,52,130,,,
238,ABA220712,ABA696,1/15/2023 11:32,OBP,31,43,130,,,
239,ABA 220716,ABA696,1/15/2023 11:32,OBP,31,53,70,60,,
240,ABA 220909,ABA696,1/15/2023 11:32,OBP,31,58,135,,,
241,ABA 220905,ABA696,1/15/2023 11:32,OBP,31,41,125,,,
242,ABA 220314,ABA698,1/16/2023 11:13,OBP,31,50,115,,,
243,ABA 220310,ABA698,1/16/2023 11:13,OBP,31,46,105,,,
244,ABA 220405,ABA698,1/16/2023 11:13,OBP,31,43,125,,,
245,ABA 220701,ABA698,1/16/2023 11:13,OBP,31,46,130,,,
246,ABA 220811,ABA698,1/16/2023 11:13,OBP,31,48,135,,,
247,ABA 220704,ABA698,1/16/2023 11:13,OBP,31,42,125,,,
248,ABA 220617,ABA699,1/16/2023 8:28,OBP,27,40,105,,,
249,ABA 220616,ABA699,1/16/2023 8:28,OBP,27,42,100,,,
250,ABA 220908,ABA699,1/16/2023 8:28,OBP,27,38,125,,,
251,ABA 221012,ABA699,1/16/2023 8:28,OBP,27,45,135,,,
252,ABA 220802,ABA699,1/16/2023 8:28,OBP,27,44,125,,,
253,ABA 220801,ABA699,1/16/2023 8:28,OBP,27,39,125,,,
254,ABA 221115,ABA699,1/16/2023 8:28,OBP,27,39,120,,,
255,ABA 220719,ABA699,1/16/2023 8:28,OBP,27,40,125,,,
256,ABA 220307,ABA699,1/16/2023 8:28,OBP,27,39,135,,,
257,ABA 221105,ABA6105,1/16/2023 13:28,OBP,33,41,110,,,
258,ABA 221102,ABA6105,1/16/2023 13:28,OBP,33,42,110,,,
259,ABA 221117,ABA6105,1/16/2023 13:28,OBP,33,40,125,10,,
260,ABA 221118,ABA6105,1/16/2023 13:28,OBP,33,42,125,10,,
261,ABA 221121,ABA6105,1/16/2023 13:28,OBP,33,44,125,10,,
262,ABA 221119,ABA6105,1/16/2023 13:28,OBP,33,42,125,10,,
263,ABA 221129,ABA6105,1/16/2023 13:28,OBP,33,41,135,,,
264,ABA 221127,ABA6105,1/16/2023 13:28,OBP,33,43,135,,,
265,ABA 221120,ABA6105,1/16/2023 13:28,OBP,33,42,130,5,,
266,ABA 221122,ABA6105,1/16/2023 13:28,OBP,33,42,125,10,,
267,ABA 220902,ABA6103,1/18/2023 7:10,OBETH PARABAK,25,25,90,20,,
268,ABA 220615,ABA6103,1/18/2023 7:10,OBETH PARABAK,25,25,95,15,,
269,ABA 220605,ABA6103,1/18/2023 7:10,OBETH PARABAK,25,25,120,0,,
270,ABA 220606,ABA6103,1/18/2023 7:10,OBETH PARABAK,25,25,120,0,,
271,ABA 220728,ABA6103,1/18/2023 7:10,OBETH PARABAK,25,25,115,5,,
272,ABA 220726,ABA6103,1/18/2023 7:10,OBETH PARABAK,25,25,115,5,,
273,ABA 220720,ABA6103,1/18/2023 7:10,OBETH PARABAK,25,25,115,5,,
274,ABA 220711,ABA6103,1/18/2023 7:10,OBETH PARABAK,25,25,65,55,,
275,ABA 221137,ABA6103,1/18/2023 7:10,OBETH PARABAK,25,25,120,0,,
276,ABA 221004,310,1/19/2023 13:54,OBETH PARABAK,33,43,65,0,,
277,ABA 221002,310,1/19/2023 13:54,OBETH PARABAK,33,42,65,0,,
278,ABA 221001,310,1/19/2023 13:54,OBETH PARABAK,33,38,65,0,,
279,ABA 221003,310,1/19/2023 13:54,OBETH PARABAK,33,36,65,0,,
280,ABA 220614,309,1/19/2023 14:13,OBETH PARABAK,34.7,44,65,0,,
281,ABA 220613,309,1/19/2023 14:13,OBETH PARABAK,34.7,41,60,5,,
282,ABA 220612 MG,309,1/19/2023 14:13,OBETH PARABAK,34.7,41,60,5,,
283,ABA 220611 MG,309,1/19/2023 14:13,OBETH PARABAK,34.7,39,60,5,,
284,ABA 210906 MG,309,1/19/2023 14:13,OBETH PARABAK,34.7,43,65,0,,
285,ABA 210905 MG,309,1/19/2023 14:13,OBETH PARABAK,34.7,39,65,0,,
286,ABA H02002,719,1/20/2023 14:04,SUKIR & NUNUNG HARIANTO,32.3,38,125,0,,
287,ABA H02001,719,1/20/2023 14:04,SUKIR & NUNUNG HARIANTO,32.3,36,120,0,,
288,ABA 01420-2,719,1/20/2023 14:04,SUKIR & NUNUNG HARIANTO,32.3,35,130,0,,
289,ABA 10420-2,719,1/20/2023 14:04,SUKIR & NUNUNG HARIANTO,32.3,31,130,0,,
290,ABA 07420-2,719,1/20/2023 14:04,SUKIR & NUNUNG HARIANTO,32.3,33,130,0,,
291,ABA 01120-2,719,1/20/2023 14:04,SUKIR & NUNUNG HARIANTO,32.3,36,140,0,,
292,ABA 210116 EKS,719,1/20/2023 14:04,SUKIR & NUNUNG HARIANTO,32.3,32,130,0,,
293,ABA 09420-2,719,1/20/2023 14:04,SUKIR & NUNUNG HARIANTO,32.3,31,130,0,,
294,ABA 04420-2,719,1/20/2023 14:04,SUKIR & NUNUNG HARIANTO,32.3,35,140,0,,
295,ABA 220313,ABA6101,1/20/2023 9:34,SUKIR & NUNUNG HARIANTO,27.5,30,115,0,,
296,ABA 220316,ABA6101,1/20/2023 9:34,SUKIR & NUNUNG HARIANTO,27.5,31,115,0,,
297,ABA 220810,ABA6101,1/20/2023 9:34,SUKIR & NUNUNG HARIANTO,27.5,32,135,0,,
298,ABA 220914,ABA6101,1/20/2023 9:34,SUKIR & NUNUNG HARIANTO,27.5,29,130,0,,
299,ABA 220703,ABA6101,1/20/2023 9:34,SUKIR & NUNUNG HARIANTO,27.5,32,130,0,,
300,ABA 220702,ABA6101,1/20/2023 9:34,SUKIR & NUNUNG HARIANTO,27.5,32,130,0,,
301,ABA 220407,ABA6101,1/20/2023 9:34,SUKIR & NUNUNG HARIANTO,27.5,34,135,0,,
302,ABA 220302,ABA6101,1/20/2023 9:34,SUKIR & NUNUNG HARIANTO,27.5,29,135,0,,
303,ABA 2202015,ABA6101,1/20/2023 9:34,SUKIR & NUNUNG HARIANTO,27.5,29,140,0,,
304,ABA 211206,ABA6101,1/20/2023 9:34,SUKIR & NUNUNG HARIANTO,27.5,33,150,0,,
305,ABA 211021,720,1/20/2023 9:45,SUKIR & NUNUNG HARIANTO,27.7,38,115,0,,
306,ABA 211023,720,1/20/2023 9:45,SUKIR & NUNUNG HARIANTO,27.7,31,115,0,,
307,ABA 211020,720,1/20/2023 9:45,SUKIR & NUNUNG HARIANTO,27.7,37,150,0,,
308,ABA 211029,720,1/20/2023 9:45,SUKIR & NUNUNG HARIANTO,27.7,28,140,0,,
309,ABA 211030,720,1/20/2023 9:45,SUKIR & NUNUNG HARIANTO,27.7,28,140,0,,
310,ABA 211024,720,1/20/2023 9:45,SUKIR & NUNUNG HARIANTO,27.7,32,140,0,,
311,ABA 211019,720,1/20/2023 9:45,SUKIR & NUNUNG HARIANTO,27.7,39,145,0,,
312,ABA 211027,720,1/20/2023 9:45,SUKIR & NUNUNG HARIANTO,27.7,29,145,0,,
313,ABA 211028,720,1/20/2023 9:45,SUKIR & NUNUNG HARIANTO,27.7,28,145,0,,
314,ABA 211025,720,1/20/2023 9:45,SUKIR & NUNUNG HARIANTO,27.7,32,145,0,,
315,ABA 220618,ABA692,1/20/2023 7:50,SUKIR & NUNUNG HARIANTO,25,27,95,5,,
316,ABA 20901,ABA692,1/20/2023 7:50,SUKIR & NUNUNG HARIANTO,25,27,95,5,,
317,ABA 221109,ABA692,1/20/2023 7:50,SUKIR & NUNUNG HARIANTO,25,26,120,0,,
318,ABA 221113,ABA692,1/20/2023 7:50,SUKIR & NUNUNG HARIANTO,25,26,120,0,,
319,ABA 220805,ABA692,1/20/2023 7:50,SUKIR & NUNUNG HARIANTO,25,27,120,0,,
320,ABA 220807,ABA692,1/20/2023 7:50,SUKIR & NUNUNG HARIANTO,25,27,120,0,,
321,ABA 220608,ABA692,1/20/2023 7:50,SUKIR & NUNUNG HARIANTO,25,25,130,0,,
322,ABA 220304,ABA692,1/20/2023 7:50,SUKIR & NUNUNG HARIANTO,25,25,125,0,,
323,ABA 220706,ABA692,1/20/2023 7:50,SUKIR & NUNUNG HARIANTO,25,27,120,0,,
324,ABA 220311,ABA693,1/20/2023 9:07,SUKIR & NUNUNG HARIANTO,27,29,120,0,,
